group    var
Pathway1 marker1
Pathway1 marker2
Pathway2 marker3
Pathway2 marker4
Pathway2 marker5
Pathway2 marker6
Pathway2 marker7
Pathway2 marker8
Pathway3 marker7
Pathway3 marker1
Pathway3 marker9
Pathway3 marker10
Pathway3 marker11
Pathway3 marker8
Pathway3 marker12
Pathway3 marker13
Pathway3 marker14
Pathway4 marker13
Pathway4 marker14
Pathway5 marker7
Pathway5 marker8
Pathway5 marker15
Pathway6 marker16
Pathway6 marker17
Pathway6 marker4
Pathway6 marker18
Pathway6 marker6
Pathway6 marker7
Pathway6 marker19
Pathway7 marker4
Pathway7 marker20
Pathway7 marker21
Pathway7 marker22
Pathway7 marker23
Pathway7 marker24
Pathway7 marker25
Pathway7 marker1
Pathway7 marker26
Pathway7 marker27
Pathway7 marker28
Pathway8 marker16
Pathway8 marker4
Pathway8 marker29
Pathway8 marker24
Pathway8 marker30
Pathway8 marker31
Pathway8 marker26
Pathway9 marker32
Pathway9 marker33
Pathway9 marker34
Pathway9 marker35
Pathway9 marker33
Pathway10 marker34
Pathway10 marker4
Pathway10 marker35
